City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Broken Hill,AU,2022-05-12 17:26:20,-31.95,141.4333,58.8,85,87,6.24
68,Butaritari,KI,2022-05-12 17:26:20,3.0707,172.7902,80.51,81,96,15.93
69,Olafsvik,IS,2022-05-12 17:26:21,64.8945,-23.7142,35.69,88,100,30.44
70,Watertown,US,2022-05-12 17:25:31,42.3709,-71.1828,79.84,70,0,6.91
71,Obo,CF,2022-05-12 17:26:21,5.3998,26.4869,70.47,95,99,0.38
72,Bengbu,CN,2022-05-12 17:26:22,32.9408,117.3608,65.14,77,100,4.03
73,Bodaybo,RU,2022-05-12 17:26:23,57.8506,114.1933,32.45,97,27,0.54
74,Vaini,TO,2022-05-12 17:26:23,-21.2,-175.2,69.96,78,20,6.91
75,Thompson,CA,2022-05-12 17:21:38,55.7435,-97.8558,55.56,38,20,4.61
76,Kavaratti,IN,2022-05-12 17:26:24,10.5669,72.642,84.79,65,100,10.07
77,Sitka,US,2022-05-12 17:26:24,57.0531,-135.33,48.09,66,20,0.0
78,Dikson,RU,2022-05-12 17:26:25,73.5069,80.5464,10.45,92,57,5.08
79,La Ronge,CA,2022-05-12 17:25:31,55.1001,-105.2842,53.82,50,75,9.22
80,Hilo,US,2022-05-12 17:26:26,19.7297,-155.09,74.28,85,100,8.05
81,Jawhar,SO,2022-05-12 17:26:26,2.7809,45.5005,80.92,75,98,16.26
82,Barrow,US,2022-05-12 17:21:34,71.2906,-156.7887,26.62,86,100,6.91
83,Vila Do Maio,CV,2022-05-12 17:26:27,15.1333,-23.2167,88.59,86,40,16.87
84,Jamestown,US,2022-05-12 17:26:27,42.097,-79.2353,81.52,28,0,3.44
85,Yar-Sale,RU,2022-05-12 17:26:28,66.8333,70.8333,35.19,100,100,4.59
86,Natalicio Talavera,PY,2022-05-12 17:26:28,-25.6333,-56.3,71.92,61,13,1.59
87,Guerrero Negro,MX,2022-05-12 17:26:29,27.9769,-114.0611,70.77,44,45,3.38
88,Narsaq,GL,2022-05-12 17:26:29,60.9167,-46.05,43.02,92,100,4.36
89,Alofi,NU,2022-05-12 17:26:30,-19.0595,-169.9187,75.09,94,97,4.61
90,Clyde River,CA,2022-05-12 17:26:30,70.4692,-68.5914,26.83,68,20,13.8
91,Khatanga,RU,2022-05-12 17:27:31,71.9667,102.5,10.63,93,33,10.6
92,Bredasdorp,ZA,2022-05-12 17:27:31,-34.5322,20.0403,58.32,58,0,7.99
93,Lata,PT,2022-05-12 17:27:32,40.1629,-8.3327,77.0,34,15,9.19
94,Saint George,US,2022-05-12 17:27:03,37.1041,-113.5841,63.43,27,0,5.75
95,Mujiayingzi,CN,2022-05-12 17:27:32,42.1167,118.7833,42.24,22,0,6.49
96,Honiara,SB,2022-05-12 17:27:33,-9.4333,159.95,77.09,87,91,1.9
97,La Quinta,US,2022-05-12 17:23:42,33.6634,-116.31,77.9,12,0,5.75
98,Labuhan,ID,2022-05-12 17:27:33,-6.8844,112.2051,79.23,85,49,2.53
99,Vallenar,CL,2022-05-12 17:27:34,-28.5708,-70.7581,76.77,30,45,5.39
100,Okha,RU,2022-05-12 17:27:34,53.5739,142.9478,32.49,95,96,10.51
101,Touros,BR,2022-05-12 17:27:35,-5.1989,-35.4608,83.14,74,53,14.41
102,Tulsipur,NP,2022-05-12 17:27:35,28.131,82.2973,77.47,59,9,5.86
103,Mehamn,NO,2022-05-12 17:27:36,71.0357,27.8492,39.11,81,75,16.11
104,Nanortalik,GL,2022-05-12 17:27:36,60.1432,-45.2371,35.69,80,100,3.65
105,Port Elizabeth,ZA,2022-05-12 17:27:37,-33.918,25.5701,63.32,84,20,8.05
106,Broome,US,2022-05-12 17:27:37,42.2506,-75.833,83.01,28,0,5.01
107,Busselton,AU,2022-05-12 17:27:38,-33.65,115.3333,55.38,80,71,19.64
108,Porto Velho,BR,2022-05-12 17:26:39,-8.7619,-63.9039,89.65,51,40,4.61
109,Lompoc,US,2022-05-12 17:27:39,34.6391,-120.4579,72.84,45,0,15.01
110,Cherepet,RU,2022-05-12 17:27:39,54.1178,36.3788,55.92,86,100,14.97
111,Xinqing,CN,2022-05-12 17:27:40,48.2333,129.5,33.01,90,42,2.06
112,De-Kastri,RU,2022-05-12 17:27:40,51.4667,140.7833,36.95,98,90,5.41
113,New Norfolk,AU,2022-05-12 17:27:41,-42.7826,147.0587,48.7,88,32,2.19
114,Maceio,BR,2022-05-12 17:27:41,-9.6658,-35.7353,85.44,65,40,12.66
115,Istok,XK,2022-05-12 17:27:42,42.7808,20.4875,67.82,69,35,2.04
116,Sibolga,ID,2022-05-12 17:27:42,1.7427,98.7792,78.39,84,88,2.89
117,Ottawa,CA,2022-05-12 17:24:01,45.4112,-75.6981,85.66,23,75,8.05
118,Salamiyah,SY,2022-05-12 17:27:43,35.0113,37.0532,65.98,41,27,9.93
119,Chokurdakh,RU,2022-05-12 17:27:44,70.6333,147.9167,28.27,95,96,9.01
120,Tuy Hoa,VN,2022-05-12 17:27:44,13.0833,109.3,80.19,85,85,6.08
121,Greytown,ZA,2022-05-12 17:27:45,-29.0642,30.5928,55.8,77,0,0.78
122,Youghal,IE,2022-05-12 17:27:45,51.95,-7.8506,56.08,77,92,17.83
123,Mahebourg,MU,2022-05-12 17:27:46,-20.4081,57.7,73.26,94,20,4.61
124,Micheweni,TZ,2022-05-12 17:27:46,-4.9667,39.8333,79.72,78,40,14.2
125,Mollendo,PE,2022-05-12 17:27:47,-17.0231,-72.0147,69.96,67,69,8.43
126,Port-Gentil,GA,2022-05-12 17:27:47,-0.7193,8.7815,82.36,83,40,8.05
127,Coahuayana,MX,2022-05-12 17:27:48,18.7333,-103.6833,93.67,36,4,6.87
128,Souillac,MU,2022-05-12 17:27:48,-20.5167,57.5167,71.98,94,20,4.61
129,Abilene,US,2022-05-12 17:24:45,32.4487,-99.7331,90.09,41,0,24.16
130,Arraial Do Cabo,BR,2022-05-12 17:26:01,-22.9661,-42.0278,76.86,78,75,12.66
131,Hithadhoo,MV,2022-05-12 17:27:49,-0.6,73.0833,83.52,70,90,13.04
132,Port Blair,IN,2022-05-12 17:27:50,11.6667,92.75,78.84,89,75,1.14
133,Velikooktyabrskiy,RU,2022-05-12 17:27:50,57.4333,33.8159,51.64,93,100,11.79
134,Torbay,CA,2022-05-12 17:27:51,47.6666,-52.7314,65.88,81,75,17.27
135,Esperance,AU,2022-05-12 17:27:51,-33.8667,121.9,58.57,79,100,15.7
136,Poum,NC,2022-05-12 17:27:52,-20.2333,164.0167,76.21,78,100,29.89
137,Hermanus,ZA,2022-05-12 17:28:52,-34.4187,19.2345,58.8,68,14,12.86
138,Morondava,MG,2022-05-12 17:28:53,-20.2833,44.2833,77.2,67,0,10.92
139,Upernavik,GL,2022-05-12 17:28:53,72.7868,-56.1549,18.01,79,7,7.29
140,Dengzhou,CN,2022-05-12 17:28:54,37.8086,120.7508,53.71,68,95,5.64
141,Le Port,RE,2022-05-12 17:28:54,-20.9373,55.2919,75.2,74,26,4.88
142,Mayo,US,2022-05-12 17:28:55,38.8876,-76.5119,73.36,77,75,6.91
143,Panjakent,TJ,2022-05-12 17:28:55,39.4952,67.6093,60.03,71,69,6.82
144,Savelugu,GH,2022-05-12 17:28:56,9.6244,-0.8253,99.72,32,38,7.4
145,Kununurra,AU,2022-05-12 17:28:56,-15.7667,128.7333,69.78,83,79,0.0
146,Komsomolskiy,UZ,2022-05-12 17:28:57,40.4272,71.7189,70.52,46,100,11.5
147,Viedma,AR,2022-05-12 17:28:57,-40.8135,-62.9967,54.73,67,100,18.03
148,Kavieng,PG,2022-05-12 17:28:58,-2.5744,150.7967,81.86,75,100,8.88
149,Airai,TL,2022-05-12 17:28:58,-8.9266,125.4092,60.24,94,53,1.14
150,Tangzhai,CN,2022-05-12 17:28:59,34.4328,116.5911,64.24,58,100,14.03
151,Huarmey,PE,2022-05-12 17:28:59,-10.0681,-78.1522,70.11,75,54,10.67
152,Omsukchan,RU,2022-05-12 17:29:00,62.5333,155.8,21.63,95,70,5.79
153,Qarqin,AF,2022-05-12 17:29:00,37.4185,66.0436,83.57,17,2,12.21
154,Boksitogorsk,RU,2022-05-12 17:29:01,59.474,33.8485,50.61,95,100,9.31
155,Arrifes,PT,2022-05-12 17:29:01,37.7667,-25.7,64.65,52,20,14.97
156,Iqaluit,CA,2022-05-12 17:29:02,63.7506,-68.5145,22.73,79,75,20.71
157,Kaeo,NZ,2022-05-12 17:29:02,-35.1,173.7833,46.33,94,0,3.69
158,Nishihara,JP,2022-05-12 17:29:03,26.1842,127.7558,78.85,97,75,12.66
159,Beloha,MG,2022-05-12 17:29:04,-25.1667,45.05,64.99,78,0,8.52
160,Cidreira,BR,2022-05-12 17:29:04,-30.1811,-50.2056,64.96,63,11,11.36
161,Mahon,ES,2022-05-12 17:29:05,39.8885,4.2658,70.36,68,0,11.5
162,Nushki,PK,2022-05-12 17:29:05,29.5542,66.0215,84.38,7,0,8.14
163,Turukhansk,RU,2022-05-12 17:29:06,65.8167,87.9833,35.73,100,100,3.24
164,Lagoa,PT,2022-05-12 17:29:06,39.05,-27.9833,60.35,67,100,8.86
165,Kilemary,RU,2022-05-12 17:29:07,56.7783,46.8659,43.23,82,83,4.45
166,Petropavlovsk-Kamchatskiy,RU,2022-05-12 17:29:07,53.0452,158.6483,37.99,100,100,2.24
167,Idaho Falls,US,2022-05-12 17:29:08,43.4666,-112.0341,53.01,48,40,21.85
168,San Rafael,AR,2022-05-12 17:29:08,-34.6177,-68.3301,69.78,48,91,12.73
169,Sept-Iles,CA,2022-05-12 17:29:09,50.2001,-66.3821,70.32,21,20,16.11
170,Bengkulu,ID,2022-05-12 17:29:10,-3.8004,102.2655,76.32,90,100,5.06
171,Santa Rosa,PH,2022-05-12 17:24:14,14.3122,121.1114,84.18,74,25,4.59
172,Mount Gambier,AU,2022-05-12 17:29:10,-37.8333,140.7667,56.59,88,75,2.59
173,Dingle,PH,2022-05-12 17:29:11,10.9995,122.6711,78.55,84,99,5.14
174,Tiksi,RU,2022-05-12 17:29:11,71.6872,128.8694,22.59,86,75,15.08
175,Rafaela,AR,2022-05-12 17:29:12,-31.2503,-61.4867,71.01,42,5,4.0
176,Sur,OM,2022-05-12 17:29:12,22.5667,59.5289,91.38,28,84,9.51
177,Dzaoudzi,YT,2022-05-12 17:29:13,-12.7887,45.2699,80.49,69,0,9.22
178,Constitucion,CL,2022-05-12 17:29:13,-35.3333,-72.4167,54.68,86,100,1.9
179,Arman,RU,2022-05-12 17:29:14,59.7,150.1667,33.96,91,73,1.68
180,Guangyuan,CN,2022-05-12 17:30:15,32.442,105.823,63.34,78,100,8.21
181,Chapais,CA,2022-05-12 17:30:15,49.7834,-74.8492,74.98,32,97,6.51
182,Jacmel,HT,2022-05-12 17:30:16,18.2342,-72.5347,87.64,58,100,13.04
183,Moose Factory,CA,2022-05-12 17:30:16,51.2585,-80.6094,50.0,81,75,4.61
184,Santa Barbara,US,2022-05-12 17:30:17,34.7333,-120.0343,68.77,47,0,4.61
185,Stralsund,DE,2022-05-12 17:30:17,54.3091,13.0818,54.16,73,29,13.02
186,Qaanaaq,GL,2022-05-12 17:30:18,77.484,-69.3632,18.41,69,44,2.93
187,Atar,MR,2022-05-12 17:30:18,20.5169,-13.0499,105.94,12,1,14.32
188,Ishigaki,JP,2022-05-12 17:30:19,24.3448,124.1572,77.13,100,75,10.36
189,Toora-Khem,RU,2022-05-12 17:30:19,52.4675,96.11,36.41,60,0,2.62
190,Saint-Augustin,CA,2022-05-12 17:30:20,51.226,-58.6502,55.74,36,29,17.78
191,Fort Nelson,CA,2022-05-12 17:30:20,58.8053,-122.7002,42.39,70,75,4.61
192,Orlik,RU,2022-05-12 17:30:21,52.5178,99.825,34.36,49,0,2.28
193,Talcahuano,CL,2022-05-12 17:30:21,-36.7167,-73.1167,51.48,93,75,5.75
194,Kruisfontein,ZA,2022-05-12 17:30:22,-34.0033,24.7314,57.88,79,16,6.6
195,Podgornoye,RU,2022-05-12 17:30:22,51.735,39.1496,70.02,32,0,6.71
196,Chuy,UY,2022-05-12 17:30:23,-33.6971,-53.4616,62.29,56,51,8.3
197,Castro,BR,2022-05-12 17:30:23,-24.7911,-50.0119,68.83,55,0,2.86
198,Richards Bay,ZA,2022-05-12 17:30:24,-28.783,32.0377,71.02,83,13,9.86
199,Daru,PG,2022-05-12 17:30:24,-9.0763,143.2092,77.34,91,35,5.77
200,Floro,NO,2022-05-12 17:30:25,61.5996,5.0328,49.23,76,75,16.11
201,Olinda,BR,2022-05-12 17:30:25,-8.0089,-34.8553,85.73,66,40,11.5
202,Sao Filipe,CV,2022-05-12 17:30:26,14.8961,-24.4956,74.91,73,38,10.38
203,Tuktoyaktuk,CA,2022-05-12 17:30:26,69.4541,-133.0374,30.2,86,100,2.3
204,Fukue,JP,2022-05-12 17:30:27,32.6881,128.8419,66.83,94,100,7.99
205,Buala,SB,2022-05-12 17:30:28,-8.145,159.5921,79.97,79,99,2.66
206,Anloga,GH,2022-05-12 17:30:28,5.7947,0.8973,84.2,74,84,10.45
207,Lipin Bor,RU,2022-05-12 17:30:29,60.2622,37.9763,48.42,96,100,6.24
208,Meadow Lake,US,2022-05-12 17:30:07,34.8014,-106.5436,70.57,8,62,9.8
209,Gizo,SB,2022-05-12 17:30:29,-8.103,156.8419,82.31,74,100,5.14
210,Roald,NO,2022-05-12 17:30:30,62.5833,6.1333,50.76,71,75,21.85
211,Mitsamiouli,KM,2022-05-12 17:30:30,-11.3847,43.2844,79.09,69,20,3.44
212,Berlevag,NO,2022-05-12 17:30:31,70.8578,29.0864,39.15,75,75,17.27
213,Zhuhai,CN,2022-05-12 17:30:31,22.2769,113.5678,76.86,100,40,1.14
214,San Luis,AR,2022-05-12 17:30:28,-33.295,-66.3356,71.1,42,86,16.06
215,Kaitangata,NZ,2022-05-12 17:30:32,-46.2817,169.8464,45.77,82,93,5.5
216,San Patricio,US,2022-05-12 17:30:32,28.017,-97.5169,89.19,47,6,15.48
217,Maridi,SS,2022-05-12 17:30:33,4.9158,29.4742,71.31,87,90,3.51
218,Hasaki,JP,2022-05-12 17:30:33,35.7333,140.8333,66.6,95,100,6.73
219,Sainte-Marie,RE,2022-05-12 17:30:34,-20.8968,55.5496,75.36,86,75,4.61
220,Zhanjiang,CN,2022-05-12 17:30:35,21.2815,110.3427,76.5,93,95,4.79
221,Suhbaatar,MN,2022-05-12 17:30:35,50.2314,106.2078,43.02,45,8,5.39
222,Howard Springs,AU,2022-05-12 17:30:36,-12.497,131.047,78.71,96,95,1.59
223,Los Llanos De Aridane,ES,2022-05-12 17:30:36,28.6585,-17.9182,67.12,82,75,11.5
224,Hambantota,LK,2022-05-12 17:31:37,6.1241,81.1185,80.24,83,99,15.7
225,Preston,GB,2022-05-12 17:31:37,53.7667,-2.7167,58.93,65,20,12.66
226,Beidao,CN,2022-05-12 17:31:38,34.5686,105.8933,53.62,83,100,2.77
227,Labuan,MY,2022-05-12 17:31:38,5.2767,115.2417,79.16,100,20,0.0
228,Rocha,UY,2022-05-12 17:31:27,-34.4833,-54.3333,61.32,51,28,8.1
229,Vung Tau,VN,2022-05-12 17:31:39,10.346,107.0843,82.78,81,100,10.31
230,Henties Bay,NA,2022-05-12 17:31:39,-22.116,14.2845,59.76,82,2,10.76
231,Flinders,AU,2022-05-12 17:31:40,-34.5833,150.8552,66.38,92,100,5.99
232,Solnechnyy,RU,2022-05-12 17:31:40,50.7214,136.6319,36.73,94,53,0.54
233,Ponta Do Sol,PT,2022-05-12 17:31:41,32.6667,-17.1,75.0,76,26,3.33
234,Jalu,LY,2022-05-12 17:31:41,29.0331,21.5482,72.48,62,34,13.62
235,Mandali,IQ,2022-05-12 17:31:42,33.7499,45.5541,82.11,15,1,11.68
236,Nikolskoye,RU,2022-05-12 17:30:42,59.7035,30.7861,50.88,85,100,11.88
237,San Ignacio,BZ,2022-05-12 17:31:43,17.1561,-89.0714,86.14,62,75,4.61
238,Shu,KZ,2022-05-12 17:31:43,43.5983,73.7614,62.2,66,35,7.27
239,Shostka,UA,2022-05-12 17:31:44,51.863,33.4698,60.3,89,89,15.48
240,San Jeronimo,PE,2022-05-12 17:31:44,-11.9472,-75.2829,58.82,54,74,3.49
241,Diffa,NE,2022-05-12 17:31:45,13.3154,12.6113,101.28,18,44,2.73
242,Bluefields,NI,2022-05-12 17:31:45,12.0137,-83.7635,84.27,79,75,4.61
243,Geraldton,AU,2022-05-12 17:31:46,-28.7667,114.6,57.61,88,75,4.61
244,Ribeira Grande,PT,2022-05-12 17:31:46,38.5167,-28.7,63.0,63,75,12.66
245,Luganville,VU,2022-05-12 17:31:47,-15.5333,167.1667,77.47,90,100,15.03
