City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,Ust-Tsilma,RU,65.441,52.1498,44.01,93,100,8.75,overcast clouds
79,Puerto Escondido,MX,15.85,-97.0667,89.29,57,6,9.01,clear sky
80,Nioro,GM,13.35,-15.75,85.3,43,8,12.73,clear sky
81,Camacha,PT,33.0833,-16.3333,63.82,82,20,14.97,few clouds
82,Katsuura,JP,35.1333,140.3,67.14,99,100,5.28,moderate rain
83,Khash,IR,28.2211,61.2158,77.49,11,0,6.76,clear sky
84,Bluff,NZ,-46.6,168.3333,47.8,81,100,10.47,overcast clouds
85,Vaini,TO,-21.2,-175.2,73.56,53,75,12.66,broken clouds
86,Juquitiba,BR,-23.9317,-47.0683,66.36,99,85,3.38,overcast clouds
87,Windsor Locks,US,41.9293,-72.6273,83.77,52,77,6.8,broken clouds
88,Barrow,US,71.2906,-156.7887,26.62,80,100,9.22,overcast clouds
89,Evensk,RU,61.95,159.2333,35.28,82,16,7.65,few clouds
90,San Cristobal,VE,7.7669,-72.225,77.18,60,99,5.17,overcast clouds
91,Berlevag,NO,70.8578,29.0864,37.35,75,40,18.41,scattered clouds
92,Nome,US,64.5011,-165.4064,39.16,87,40,11.5,scattered clouds
93,Giyon,ET,8.5333,37.9833,65.46,28,31,11.52,scattered clouds
94,Kaeo,NZ,-35.1,173.7833,49.32,96,2,5.17,clear sky
95,Dikson,RU,73.5069,80.5464,15.24,92,98,6.02,overcast clouds
96,Makat,KZ,47.6469,53.3463,57.13,64,95,9.89,overcast clouds
97,Upernavik,GL,72.7868,-56.1549,17.89,85,10,7.27,clear sky
98,Dalvik,IS,65.9702,-18.5286,33.73,96,100,18.92,snow
99,Pagudpud,PH,18.5616,120.7868,79.14,81,84,4.45,broken clouds
100,Lyuban,BY,52.7985,28.0048,49.1,79,35,9.55,scattered clouds
101,Thompson,CA,55.7435,-97.8558,62.76,34,20,5.75,few clouds
102,Gizo,SB,-8.103,156.8419,82.49,73,97,5.57,overcast clouds
103,Vostok,RU,46.4856,135.8833,43.88,69,99,1.99,overcast clouds
104,Lebu,CL,-37.6167,-73.65,55.0,82,94,6.67,overcast clouds
105,Jamestown,US,42.097,-79.2353,82.04,19,0,4.61,clear sky
106,Oussouye,SN,12.485,-16.5469,82.58,77,9,10.56,clear sky
107,Hermanus,ZA,-34.4187,19.2345,58.98,73,10,12.08,clear sky
108,Ust-Uda,RU,54.1742,103.0304,42.91,52,61,1.95,broken clouds
109,La Ronge,CA,55.1001,-105.2842,61.02,39,40,14.97,scattered clouds
110,Adrar,MR,20.5022,-10.0711,92.61,11,2,9.19,clear sky
111,Bati,ET,11.1833,40.0167,72.68,32,3,6.71,clear sky
112,Port Elizabeth,ZA,-33.918,25.5701,59.31,90,20,8.05,few clouds
113,Coruripe,BR,-10.1256,-36.1756,77.36,80,12,7.49,few clouds
114,Yellowknife,CA,62.456,-114.3525,46.92,57,40,10.36,scattered clouds
115,Saskylakh,RU,71.9167,114.0833,11.23,92,58,14.12,broken clouds
116,Busselton,AU,-33.65,115.3333,56.23,73,95,20.09,overcast clouds
117,Ostrovnoy,RU,68.0531,39.5131,40.1,86,19,7.54,few clouds
118,Lagos,NG,6.5833,3.75,82.72,83,7,6.11,clear sky
119,Sitka,US,57.0531,-135.33,52.43,59,57,5.93,light rain
120,Atuona,PF,-9.8,-139.0333,79.07,77,12,23.29,few clouds
121,Svetlyy,RU,54.675,20.1347,51.85,74,8,16.35,clear sky
122,Nowy Dwor Gdanski,PL,54.2131,19.1177,52.68,75,41,8.55,scattered clouds
123,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,61,100,11.5,overcast clouds
124,Mahebourg,MU,-20.4081,57.7,73.69,88,40,3.44,scattered clouds
125,Nikolskoye,RU,59.7035,30.7861,48.87,85,100,11.7,overcast clouds
126,Pacific Grove,US,36.6177,-121.9166,70.25,64,0,12.66,clear sky
127,Tura,IN,25.5198,90.2201,71.65,97,62,5.1,broken clouds
128,Naifaru,MV,5.4444,73.3657,83.1,79,100,20.13,overcast clouds
129,Kruisfontein,ZA,-34.0033,24.7314,53.89,89,4,7.31,clear sky
130,Emba,KZ,48.8264,58.1442,49.06,78,16,10.49,few clouds
131,Faanui,PF,-16.4833,-151.75,82.22,67,5,18.66,clear sky
132,Ginda,IN,30.6945,78.4932,60.04,62,1,8.77,clear sky
133,Paamiut,GL,61.994,-49.6678,33.8,100,100,9.46,snow
134,Loa Janan,ID,-0.583,117.095,75.0,98,100,1.92,overcast clouds
135,Lata,PT,40.1629,-8.3327,58.93,73,46,2.37,scattered clouds
136,Carnarvon,AU,-24.8667,113.6333,64.47,94,75,9.22,broken clouds
137,Hobyo,SO,5.3505,48.5268,81.97,83,78,25.12,broken clouds
138,Port Augusta,AU,-32.5,137.7667,54.45,89,58,2.44,broken clouds
